"Ielieta degviela l","Ielietās degvielas cena EUR/l","Ielietās degvielas izmaksas EUR","Ielietās degvielas kods",Laiks,,"Brauk- šanas laiks","Stāvē- šanas laiks","ielieta eļļa","Izlietotā degviela l Patēriņš",Maršruts,,Sētas,"Nobrauktie km","Odometra rād.",,"Vidējais ātrums km/h","Maksimālais ātrums km/h","Pavadz. Nr.","Krava t","Klienta paraksts"
,,,,Sākot,Beidzot,,,,,no,līdz,,,sākumā,beigās
,,,,"2018.02.01 9:08","2018.02.01 9:18","9 min","1 min, 21 sek",,"0,53","Pētera iela 23A, Jelgava","Dobeles šoseja 104, Jelgava",,"4,4","103476,7","103481,1",27,59,,,
,,,,"2018.02.01 9:19","2018.02.01 9:30","11 min","8 min",,"0,81","Dobeles šoseja 104, Jelgava","Zemgales prospekts 12, Jelgava",,"6,7","103481,1","103487,8",33,63,,,
,,,,"2018.02.01 9:39","2018.02.01 9:41","2 min, 41 sek","1 h, 3 min",,"0,12","Zemgales prospekts 12, Jelgava","Pētera iela 23A, Jelgava",,"1,0","103487,8","103488,8",18,39,,,
,,,,"2018.02.01 10:45","2018.02.01 10:56","10 min","14 min",,"0,58","Pētera iela 23A, Jelgava","Rīgas iela 67, Jelgava",,"4,8","103488,8","103493,6",25,52,,,
,,,,"2018.02.01 11:10","2018.02.01 11:28","17 min","44 min",,"1,17","Rīgas iela 67, Jelgava","Krišjāņa Barona iela 10, Jelgava",,"9,7","103493,6","103503,3",31,54,,,
,,,,"2018.02.01 12:12","2018.02.01 12:15","3 min","41 min",,"0,12","Krišjāņa Barona iela 10, Jelgava","Vaļņu iela 8, Jelgava",,"1,0","103503,3","103504,2",18,37,,,
,,,,"2018.02.01 12:57","2018.02.01 13:02","5 min","45 min",,"0,23","Vaļņu iela 8, Jelgava","Pasta iela 33, Jelgava",,"1,9","103504,3","103506,1",19,45,,,
,,,,"2018.02.01 13:48","2018.02.01 14:35","47 min","6 min",,"5,23","Pasta iela 33, Jelgava","Elijas iela 26, Rīga",,"43,3","103506,2","103549,4",53,95,,,
,,,,"2018.02.01 14:42","2018.02.01 15:31","49 min","5 min",,"6,06","Elijas iela 26, Rīga","Dzelzceļnieku iela 5, Jelgava",,"50,1","103549,5","103599,5",59,88,,,
,,,,"2018.02.01 15:36","2018.02.01 15:40","3 min","1 min, 11 sek",,"0,17","Dzelzceļnieku iela 5, Jelgava","Lielā iela 27, Jelgava",,"1,4","103599,6",103601,24,48,,,
,,,,"2018.02.01 15:41","2018.02.01 15:48","6 min","3 min",,"0,33","Lielā iela 27, Jelgava","Cīruļu iela 8, Jelgava",,"2,7",103601,"103603,7",20,50,,,
,,,,"2018.02.01 15:52","2018.02.01 16:06","14 min","13 min",,"0,89","Cīruļu iela 8, Jelgava","Satiksmes iela 30, Jelgava",,"7,4","103603,7","103611,1",29,49,,,
,,,,"2018.02.01 16:19","2018.02.01 16:30","10 min","5 h, 22 min",,"0,52","Satiksmes iela 30, Jelgava","Krišjāņa Barona iela 10, Jelgava",,"4,3","103611,1","103615,4",19,40,,,
,,,,"2018.02.01 21:52","2018.02.01 22:05","13 min","38 min",,"1,00","Krišjāņa Barona iela 10, Jelgava","Ceriņu iela 4, Ozolnieki",,"8,3","103615,4","103623,7",37,81,,,
,,,,"2018.02.01 22:44","2018.02.01 22:58","14 min","8 h, 43 min",,"1,03","Ceriņu iela 4, Ozolnieki","Krišjāņa Barona iela 10, Jelgava",,"8,5","103623,7","103632,2",33,81,,,
,,,,"2018.02.02 7:41","2018.02.02 7:42","41 sek","4 min",,"0,01","Krišjāņa Barona iela 10, Jelgava","Pasta iela 35A, Jelgava",,"0,1","103632,2","103632,3",6,10,,,
,,,,"2018.02.02 7:46","2018.02.02 7:54","7 min","8 min",,"0,40","Pasta iela 35A, Jelgava","Pētera iela 23A, Jelgava",,"3,1","103632,3","103635,4",21,49,,,
,,,,"2018.02.02 8:02","2018.02.02 8:06","3 min","9 min",,"0,13","Pētera iela 23A, Jelgava","Svētes iela 21, Jelgava",,"1,0","103635,4","103636,4",12,38,,,
,,,,"2018.02.02 8:16","2018.02.02 8:17","1 min, 47 sek","16 min",,"0,08","Svētes iela 21, Jelgava","Pētera iela 23A, Jelgava",,"0,6","103636,4","103636,9",11,19,,,
,,,,"2018.02.02 8:34","2018.02.02 8:38","4 min","9 min",,"0,14","Pētera iela 23A, Jelgava","Pasta iela 33, Jelgava",,"1,1",103637,"103638,1",12,45,,,
,,,,"2018.02.02 8:48","2018.02.02 8:54","6 min","55 min",,"0,27","Pasta iela 33, Jelgava","Pētera iela 23A, Jelgava",,"2,1","103638,1","103640,2",17,42,,,
,,,,"2018.02.02 9:49","2018.02.02 9:53","3 min","17 min",,"0,15","Pētera iela 23A, Jelgava","Cīruļu iela 8, Jelgava",,"1,2","103640,2","103641,4",15,36,,,
,,,,"2018.02.02 10:10","2018.02.02 10:14","3 min","5 min",,"0,17","Cīruļu iela 8, Jelgava","Lietuvas šoseja 2B, Jelgava",,"1,3","103641,4","103642,7",17,54,,,
,,,,"2018.02.02 10:20","2018.02.02 10:23","3 min","1 min, 21 sek",,"0,23","Lietuvas šoseja 2B, Jelgava","Miera iela 8, Jelgava",,"1,8","103642,7","103644,5",27,49,,,
,,,,"2018.02.02 10:25","2018.02.02 11:03","37 min","1 min, 8 sek",,"5,18","Miera iela 8, Jelgava","Vienības gatve 90, Rīga",,"40,4","103644,5","103684,9",63,96,,,
,,,,"2018.02.02 11:04","2018.02.02 11:10","6 min","4 min",,"0,60","Vienības gatve 90, Rīga","Elijas iela 13, Rīga",,"4,7","103684,9","103689,6",42,68,,,
,,,,"2018.02.02 11:15","2018.02.02 11:46","31 min","3 min",,"2,52","Elijas iela 13, Rīga","Uguns iela 8, Rīga",,"19,7","103689,6","103709,3",36,63,,,
,,,,"2018.02.02 11:50","2018.02.02 12:15","24 min","6 min",,"1,78","Uguns iela 8, Rīga","Grostonas iela 12, Rīga",,"13,9","103709,3","103723,2",33,64,,,
,,,,"2018.02.02 12:21","2018.02.02 13:17","56 min","1 h, 20 min",,"6,39","Grostonas iela 12, Rīga","Vaļņu iela 8, Jelgava",,"49,9","103723,2","103773,1",52,95,,,
,,,,"2018.02.02 14:38","2018.02.02 14:42","4 min","1 min, 10 sek",,"0,22","Vaļņu iela 8, Jelgava","Filozofu iela 62, Jelgava",,"1,7","103773,1","103774,8",19,43,,,
,,,,"2018.02.02 14:44","2018.02.02 15:01","17 min","44 min",,"1,08","Filozofu iela 62, Jelgava","Pētera iela 23A, Jelgava",,"8,4","103774,8","103783,2",27,49,,,
,,,,"2018.02.02 15:45","2018.02.02 15:53","7 min","12 min",,"0,31","Pētera iela 23A, Jelgava","Aveņu iela 37, Jelgava",,"2,4","103783,2","103785,6",17,47,,,
,,,,"2018.02.02 16:05","2018.02.02 16:14","9 min","3 min",,"0,45","Aveņu iela 37, Jelgava","Pasta iela 35, Jelgava",,"3,5","103785,6",103789,21,54,,,
,,,,"2018.02.02 16:18","2018.02.02 16:23","5 min","4 h, 14 min",,"0,32","Pasta iela 35, Jelgava","Aveņu iela 37, Jelgava",,"2,5","103789,1","103791,6",24,58,,,
,,,,"2018.02.02 20:38","2018.02.02 20:46","8 min","2 min, 1 sek",,"0,46","Aveņu iela 37, Jelgava","Puķu iela 30, Jelgava",,"3,6","103791,6","103795,2",23,52,,,
,,,,"2018.02.02 20:48","2018.02.02 20:52","3 min","1 min, 5 sek",,"0,15","Puķu iela 30, Jelgava","Lielā iela 13, Jelgava",,"1,2","103795,2","103796,3",16,47,,,
,,,,"2018.02.02 20:53","2018.02.02 20:58","4 min","1 d, 14 h, 27 min",,"0,31","Lielā iela 13, Jelgava","Aveņu iela 36, Jelgava",,"2,4","103796,4","103798,8",31,50,,,
,,,,"2018.02.04 11:26","2018.02.04 11:35","8 min","2 min, 29 sek",,"0,97","Aveņu iela 36, Jelgava","Parka iela 36, Jelgava",,"5,2","103798,8",103804,32,63,,,
,,,,"2018.02.04 11:37","2018.02.04 11:38","43 sek","3 min",,"0,13","Parka iela 36, Jelgava","Garozas iela 49, Jelgava",,"0,7",103804,"103804,2",20,29,,,
,,,,"2018.02.04 11:42","2018.02.04 11:47","5 min","11 min",,"0,48","Garozas iela 49, Jelgava","Pasta iela 47, Jelgava",,"2,6","103804,7","103807,3",25,54,,,
,,,,"2018.02.04 11:59","2018.02.04 12:03","4 min","38 min",,"0,46","Pasta iela 47, Jelgava","Aveņu iela 37, Jelgava",,"2,5","103807,3","103809,8",32,52,,,
,,,,"2018.02.04 12:42","2018.02.04 12:52","10 min","1 min, 55 sek",,"0,93","Aveņu iela 37, Jelgava","Oļu iela 1, Jelgava",,"5,0","103809,8","103814,8",28,57,,,
,,,,"2018.02.04 12:54","2018.02.04 13:06","11 min","19 h, 30 min",,"1,04","Oļu iela 1, Jelgava","Aveņu iela 37, Jelgava",,"5,6","103814,8","103820,3",26,55,,,
,,,,"2018.02.05 8:36","2018.02.05 9:00","23 min","34 min",,"1,67","Aveņu iela 37, Jelgava","Vaļņu iela 8, Jelgava",,"10,1","103820,4","103830,5",28,52,,,
,,,,"2018.02.05 9:34","2018.02.05 10:10","36 min","26 min",,"3,23","Vaļņu iela 8, Jelgava","Pētera iela 23A, Jelgava",,"19,6","103830,5","103850,1",31,63,,,
,,,,"2018.02.05 10:37","2018.02.05 10:42","5 min","1 h, 53 min",,"0,30","Pētera iela 23A, Jelgava","Krišjāņa Barona iela 10, Jelgava",,"1,8","103850,1","103851,9",18,43,,,
,,,,"2018.02.05 12:35","2018.02.05 12:39","3 min","3 min",,"0,33","Krišjāņa Barona iela 10, Jelgava","Satiksmes iela 33A, Jelgava",,"2,0","103851,9","103853,9",27,45,,,
,,,,"2018.02.05 12:43","2018.02.05 12:51","7 min","2 min, 42 sek",,"0,71","Satiksmes iela 33A, Jelgava","Garozas iela 24A, Jelgava",,"4,3","103853,9","103858,2",32,47,,,
,,,,"2018.02.05 12:53","2018.02.05 13:00","6 min","6 min",,"0,45","Garozas iela 24A, Jelgava","Rīgas iela 67, Jelgava",,"2,7","103858,2","103860,9",20,42,,,
,,,,"2018.02.05 13:06","2018.02.05 13:17","10 min","1 h",,"0,77","Rīgas iela 67, Jelgava","Pētera iela 23A, Jelgava",,"4,7","103860,9","103865,5",25,57,,,
,,,,"2018.02.05 14:18","2018.02.05 14:59","41 min","47 min",,"3,33","Pētera iela 23A, Jelgava","Vaļņu iela 8, Jelgava",,"20,2","103865,6","103885,8",26,54,,,
,,,,"2018.02.05 15:46","2018.02.05 15:53","6 min","7 min",,"0,41","Vaļņu iela 8, Jelgava","Brīvības bulvāris 1A, Jelgava",,"2,5","103885,8","103888,2",21,45,,,
,,,,"2018.02.05 16:00","2018.02.05 16:03","2 min, 43 sek","4 min",,"0,13","Brīvības bulvāris 1A, Jelgava","Austrumu iela 2A, Jelgava",,"0,8","103888,3","103889,1",18,42,,,
,,,,"2018.02.05 16:07","2018.02.05 16:19","11 min","33 min",,"0,92","Austrumu iela 2A, Jelgava","Pētera iela 23A, Jelgava",,"5,6","103889,1","103894,7",27,47,,,
,,,,"2018.02.05 16:52","2018.02.05 17:01","8 min","1 h, 34 min",,"0,35","Pētera iela 23A, Jelgava","Krišjāņa Barona iela 3, Jelgava",,"2,1","103894,7","103896,8",13,40,,,
,,,,"2018.02.05 18:35","2018.02.05 18:46","11 min","11 min",,"0,73","Krišjāņa Barona iela 3, Jelgava","Rīgas iela 51, Jelgava",,"4,4","103896,8","103901,2",21,49,,,
,,,,"2018.02.05 18:58","2018.02.05 19:01","3 min","5 min",,"0,26","Rīgas iela 51, Jelgava","Rīgas iela 20A, Jelgava",,"1,6","103901,2","103902,8",21,33,,,
,,,,"2018.02.05 19:06","2018.02.05 19:12","5 min","2 h, 41 min",,"0,36","Rīgas iela 20A, Jelgava","Krišjāņa Barona iela 3, Jelgava",,"2,2","103902,8",103905,19,45,,,
,,,,"2018.02.05 21:54","2018.02.05 21:58","3 min","7 min",,"0,13","Krišjāņa Barona iela 3, Jelgava","Pasta iela 47, Jelgava",,"0,8",103905,"103905,8",10,39,,,
,,,,"2018.02.05 22:06","2018.02.05 22:09","3 min","15 min",,"0,21","Pasta iela 47, Jelgava","Zemgales prospekts 19A, Jelgava",,"1,3","103905,8","103907,1",22,45,,,
,,,,"2018.02.05 22:24","2018.02.05 22:31","6 min","9 h, 11 min",,"0,33","Zemgales prospekts 19A, Jelgava","Pasta iela 35A, Jelgava",,"2,0","103907,1",103909,17,46,,,
,,,,"2018.02.06 7:43","2018.02.06 7:52","9 min","1 h, 9 min",,"0,49","Pasta iela 35A, Jelgava","Pētera iela 23A, Jelgava",,"3,1","103909,1","103912,2",17,40,,,
,,,,"2018.02.06 9:02","2018.02.06 9:19","16 min","2 min, 11 sek",,"1,43","Pētera iela 23A, Jelgava","Rūpniecības iela 75A, Jelgava",,"9,0","103912,2","103921,2",30,60,,,
,,,,"2018.02.06 9:21","2018.02.06 9:48","26 min","47 min",,"2,13","Rūpniecības iela 75A, Jelgava","Blaumaņa iela 8, Jelgava",,"13,4","103921,2","103934,6",30,49,,,
,,,,"2018.02.06 10:35","2018.02.06 10:40","5 min","45 min",,"0,22","Blaumaņa iela 8, Jelgava","Pētera iela 23A, Jelgava",,"1,4","103934,6",103936,16,41,,,
,,,,"2018.02.06 11:25","2018.02.06 11:33","7 min","12 min",,"0,70","Pētera iela 23A, Jelgava","Dobeles šoseja 104, Jelgava",,"4,4",103936,"103940,4",33,63,,,
,,,,"2018.02.06 11:45","2018.02.06 11:54","8 min","55 min",,"0,89","Dobeles šoseja 104, Jelgava","Krišjāņa Barona iela 3, Jelgava",,"5,6","103940,4",103946,34,56,,,
,,,,"2018.02.06 12:49","2018.02.06 12:54","4 min","1 h, 18 min",,"0,21","Krišjāņa Barona iela 3, Jelgava","Vaļņu iela 8, Jelgava",,"1,3",103946,"103947,3",17,41,,,
,,,,"2018.02.06 14:12","2018.02.06 14:33","20 min","24 min",,"1,51","Vaļņu iela 8, Jelgava","Rīgas iela 67, Jelgava",,"9,5","103947,3","103956,8",25,52,,,
,,,,"2018.02.06 14:57","2018.02.06 15:09","11 min","4 min",,"0,86","Rīgas iela 67, Jelgava","Strazdu iela 10, Jelgava",,"5,4","103956,8","103962,2",25,54,,,
,,,,"2018.02.06 15:13","2018.02.06 15:17","3 min","1 min, 18 sek",,"0,17","Strazdu iela 10, Jelgava","Akmeņu iela 14A, Jelgava",,"1,1","103962,2","103963,3",15,40,,,
,,,,"2018.02.06 15:18","2018.02.06 15:20","1 min, 29 sek","6 min",,"0,11","Akmeņu iela 14A, Jelgava","Lāčplēša iela 6, Jelgava",,"0,7","103963,3",103964,22,47,,,
,,,,"2018.02.06 15:26","2018.02.06 15:42","16 min","14 min",,"1,11","Lāčplēša iela 6, Jelgava","Zemgales prospekts 12, Jelgava",,"7,0",103964,103971,22,54,,,
,,,,"2018.02.06 15:56","2018.02.06 15:58","2 min, 12 sek","59 min",,"0,17","Zemgales prospekts 12, Jelgava","Vaļņu iela 8, Jelgava",,"1,1",103971,"103972,1",22,38,,,
,,,,"2018.02.06 16:58","2018.02.06 17:04","6 min","14 h, 27 min",,"0,29","Vaļņu iela 8, Jelgava","Lielā iela 8, Jelgava",,"1,8","103972,1","103973,9",14,39,,,
,,,,"2018.02.07 7:32","2018.02.07 7:34","2 min, 2 sek","7 min",,"0,05","Lielā iela 8, Jelgava","Pasta iela 35, Jelgava",,"0,3","103973,9","103974,2",6,18,,,
,,,,"2018.02.07 7:41","2018.02.07 7:51","10 min","46 min",,"0,62","Pasta iela 35, Jelgava","Pētera iela 23A, Jelgava",,"3,5","103974,2","103977,7",18,51,,,
,,,,"2018.02.07 8:38","2018.02.07 8:50","11 min","25 min",,"0,44","Pētera iela 23A, Jelgava","Jāņa Čakstes bulvāris 9A, Jelgava",,"2,5","103977,7","103980,2",12,37,,,
,,,,"2018.02.07 9:15","2018.02.07 9:20","4 min","2 min, 52 sek",,"0,28","Jāņa Čakstes bulvāris 9A, Jelgava","Raiņa iela 17C, Jelgava",,"1,6","103980,2","103981,8",15,47,,,
,,,,"2018.02.07 9:23","2018.02.07 9:25","2 min, 9 sek","3 min",,"0,07","Raiņa iela 17C, Jelgava","Raiņa iela 11, Jelgava",,"0,4","103981,8","103982,2",11,36,,,
,,,,"2018.02.07 9:29","2018.02.07 9:32","2 min, 49 sek","6 min",,"0,12","Raiņa iela 11, Jelgava","Pētera iela 23A, Jelgava",,"0,7","103982,2","103982,9",13,31,,,
,,,,"2018.02.07 9:38","2018.02.07 9:43","4 min","6 min",,"0,26","Pētera iela 23A, Jelgava","Zirgu iela 9, Jelgava",,"1,5","103982,9","103984,3",15,39,,,
,,,,"2018.02.07 9:49","2018.02.07 9:51","1 min, 17 sek","6 min",,"0,09","Zirgu iela 9, Jelgava","Stacijas iela 5, Jelgava",,"0,5","103984,4","103984,9",16,23,,,
,,,,"2018.02.07 9:57","2018.02.07 10:00","2 min, 41 sek","7 min",,"0,14","Stacijas iela 5, Jelgava","Zemgales prospekts 12A, Jelgava",,"0,8","103984,9","103985,7",17,32,,,
,,,,"2018.02.07 10:07","2018.02.07 10:10","2 min, 28 sek","7 min",,"0,14","Zemgales prospekts 12A, Jelgava","Mātera iela 74, Jelgava",,"0,8","103985,7","103986,5",14,39,,,
,,,,"2018.02.07 10:17","2018.02.07 10:20","3 min","5 min",,"0,35","Mātera iela 74, Jelgava","Rūpniecības iela 75A, Jelgava",,"2,0","103986,5","103988,5",27,47,,,
,,,,"2018.02.07 10:26","2018.02.07 10:37","11 min","9 min",,"1,25","Rūpniecības iela 75A, Jelgava","Dobeles šoseja 47A, Jelgava",,"7,1","103988,5","103995,5",33,65,,,
,,,,"2018.02.07 10:47","2018.02.07 10:53","6 min","53 min",,"0,44","Dobeles šoseja 47A, Jelgava","Pētera iela 23A, Jelgava",,"2,5","103995,6","103998,1",22,51,,,
,,,,"2018.02.07 11:47","2018.02.07 11:52","5 min","1 h, 58 min",,"0,32","Pētera iela 23A, Jelgava","Krišjāņa Barona iela 10, Jelgava",,"1,8","103998,1","103999,9",21,45,,,
,,,,"2018.02.07 13:50","2018.02.07 14:01","11 min","2 min, 12 sek",,"0,99","Krišjāņa Barona iela 10, Jelgava","Akmeņu iela 14A, Jelgava",,"5,6","103999,9","104005,5",28,50,,,
,,,,"2018.02.07 14:04","2018.02.07 14:20","16 min","5 min",,"1,01","Akmeņu iela 14A, Jelgava","Savienības iela 1A, Jelgava",,"5,7","104005,5","104011,2",19,54,,,
,,,,"2018.02.07 14:25","2018.02.07 14:31","5 min","26 min",,"0,41","Savienības iela 1A, Jelgava","Pētera iela 23A, Jelgava",,"2,3","104011,2","104013,5",23,49,,,
,,,,"2018.02.07 14:57","2018.02.07 15:02","4 min","1 min, 16 sek",,"0,23","Pētera iela 23A, Jelgava","Akadēmijas iela 3, Jelgava",,"1,3","104013,5","104014,8",14,40,,,
,,,,"2018.02.07 15:03","2018.02.07 15:24","20 min","3 min",,"1,66","Akadēmijas iela 3, Jelgava","Satiksmes iela 72, Jelgava",,"9,4","104014,8","104024,2",20,51,,,
,,,,"2018.02.07 15:27","2018.02.07 15:39","11 min","16 h",,"0,76","Satiksmes iela 72, Jelgava","Pasta iela 22, Jelgava",,"4,3","104024,2","104028,5",19,45,,,
,,,,"2018.02.08 7:39","2018.02.08 7:41","2 min, 31 sek","1 h, 4 min",,"0,17","Pasta iela 22, Jelgava","Pētera iela 23A, Jelgava",,"1,1","104028,5","104029,5",22,40,,,
,,,,"2018.02.08 8:46","2018.02.08 9:07","20 min","1 h, 10 min",,"1,55","Pētera iela 23A, Jelgava","Pētera iela 23A, Jelgava",,"10,0","104029,6","104039,6",27,52,,,
,,,,"2018.02.08 10:17","2018.02.08 10:32","14 min","7 min",,"1,03","Pētera iela 23A, Jelgava","Vaļņu iela 4, Jelgava",,"6,6","104039,6","104046,2",25,50,,,
